Result_Date,People_Tested,People_Tested_Rate,Deaths,Death_Rate,Positives,Positive_Rate,Confirmed_Cases,Confirmed_Case_Rate,Probable_Cases,Probable_Case_Rate,Hospitalizations,Hospitalization_Rate,All_Test_Results,All_Test_Results_Rate
02/01/2020,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0
02/02/2020,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04
02/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/04/2020,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04
02/05/2020,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04
02/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/08/2020,1,0.04,0,0,0,0,0,0,0,0,2,0.09,1,0.04
02/09/2020,2,0.09,0,0,0,0,0,0,0,0,0,0,2,0.09
02/10/2020,18,0.8,0,0,0,0,0,0,0,0,0,0,18,0.8
02/11/2020,23,1.02,0,0,0,0,0,0,0,0,3,0.13,23,1.02
02/12/2020,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0
02/13/2020,41,1.81,0,0,0,0,0,0,0,0,0,0,41,1.81
02/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020,0,0,0,0,0,0,0,0,0,0,2,0.09,0,0
02/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/17/2020,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0
02/18/2020,1,0.04,0,0,0,0,0,0,0,0,1,0.04,1,0.04
02/19/2020,2,0.09,0,0,0,0,0,0,0,0,3,0.13,2,0.09
02/20/2020,1,0.04,0,0,0,0,0,0,0,0,3,0.13,1,0.04
02/21/2020,1,0.04,0,0,1,0.04,1,0.04,0,0,4,0.18,1,0.04
02/22/2020,2,0.09,0,0,1,0.04,1,0.04,0,0,4,0.18,2,0.09
02/23/2020,2,0.09,0,0,1,0.04,1,0.04,0,0,2,0.09,2,0.09
02/24/2020,2,0.09,0,0,1,0.04,1,0.04,0,0,5,0.22,2,0.09
02/25/2020,2,0.09,0,0,1,0.04,1,0.04,0,0,1,0.04,2,0.09
02/26/2020,3,0.13,2,0.09,2,0.09,2,0.09,0,0,1,0.04,3,0.13
02/27/2020,5,0.22,0,0,3,0.13,3,0.13,0,0,10,0.44,5,0.22
02/28/2020,9,0.4,2,0.09,9,0.4,9,0.4,0,0,7,0.31,9,0.4
02/29/2020,25,1.11,1,0.04,16,0.71,16,0.71,0,0,4,0.18,25,1.11
03/01/2020,43,1.9,3,0.13,12,0.53,12,0.53,0,0,4,0.18,43,1.9
03/02/2020,101,4.47,2,0.09,18,0.8,18,0.8,0,0,14,0.62,101,4.47
03/03/2020,121,5.35,3,0.13,15,0.66,15,0.66,0,0,12,0.53,121,5.35
03/04/2020,153,6.77,2,0.09,25,1.11,25,1.11,0,0,10,0.44,153,6.77
03/05/2020,212,9.38,4,0.18,38,1.68,38,1.68,0,0,21,0.93,212,9.38
03/06/2020,227,10.04,4,0.18,25,1.11,25,1.11,0,0,15,0.66,227,10.04
03/07/2020,184,8.14,0,0,21,0.93,21,0.93,0,0,11,0.49,184,8.14
03/08/2020,232,10.26,5,0.22,44,1.95,44,1.95,0,0,14,0.62,232,10.26
03/09/2020,431,19.06,3,0.13,36,1.59,36,1.59,0,0,14,0.62,431,19.06
03/10/2020,756,33.44,2,0.09,71,3.14,71,3.14,0,0,19,0.84,756,33.44
03/11/2020,831,36.76,2,0.09,62,2.74,62,2.74,0,0,16,0.71,831,36.76
03/12/2020,1242,54.94,4,0.18,99,4.38,99,4.38,0,0,26,1.15,1242,54.94
03/13/2020,1449,64.09,3,0.13,121,5.35,121,5.35,0,0,13,0.58,1449,64.09
03/14/2020,810,35.83,4,0.18,75,3.32,75,3.32,0,0,16,0.71,810,35.83
03/15/2020,480,21.23,4,0.18,46,2.03,46,2.03,0,0,13,0.58,480,21.23
03/16/2020,1573,69.58,6,0.27,136,6.02,136,6.02,0,0,24,1.06,1573,69.58
03/17/2020,1441,63.74,7,0.31,124,5.48,124,5.48,0,0,18,0.8,1441,63.74
03/18/2020,1540,68.12,4,0.18,148,6.55,148,6.55,0,0,13,0.58,1540,68.12
03/19/2020,1478,65.38,5,0.22,159,7.03,159,7.03,0,0,26,1.15,1478,65.38
03/20/2020,1311,57.99,7,0.31,119,5.26,119,5.26,0,0,22,0.97,1311,57.99
03/21/2020,676,29.9,4,0.18,82,3.63,82,3.63,0,0,23,1.02,676,29.9
03/22/2020,476,21.05,14,0.62,79,3.49,79,3.49,0,0,21,0.93,476,21.05
03/23/2020,1623,71.79,9,0.4,203,8.98,203,8.98,0,0,43,1.9,1623,71.79
03/24/2020,1613,71.35,9,0.4,177,7.83,177,7.83,0,0,25,1.11,1613,71.35
03/25/2020,1566,69.27,9,0.4,179,7.92,179,7.92,0,0,33,1.46,1566,69.27
03/26/2020,1416,62.63,15,0.66,173,7.65,173,7.65,0,0,28,1.24,1416,62.63
03/27/2020,1552,68.65,9,0.4,212,9.38,212,9.38,0,0,34,1.5,1552,68.65
03/28/2020,841,37.2,14,0.62,97,4.29,97,4.29,0,0,40,1.77,841,37.2
03/29/2020,661,29.24,8,0.35,125,5.53,125,5.53,0,0,38,1.68,661,29.24
03/30/2020,1821,80.55,4,0.18,233,10.31,233,10.31,0,0,38,1.68,1821,80.55
03/31/2020,1623,71.79,5,0.22,201,8.89,201,8.89,0,0,37,1.64,1623,71.79
04/01/2020,1654,73.16,12,0.53,179,7.92,179,7.92,0,0,38,1.68,1654,73.16
04/02/2020,1653,73.12,11,0.49,178,7.87,178,7.87,0,0,40,1.77,1653,73.12
04/03/2020,1708,75.55,13,0.58,203,8.98,203,8.98,0,0,47,2.08,1708,75.55
04/04/2020,1022,45.21,12,0.53,95,4.2,95,4.2,0,0,26,1.15,1022,45.21
04/05/2020,762,33.7,16,0.71,74,3.27,74,3.27,0,0,32,1.42,762,33.7
04/06/2020,1761,77.89,13,0.58,165,7.3,165,7.3,0,0,24,1.06,1761,77.89
04/07/2020,2032,89.88,15,0.66,192,8.49,192,8.49,0,0,30,1.33,2032,89.88
04/08/2020,1800,79.62,10,0.44,144,6.37,144,6.37,0,0,22,0.97,1800,79.62
04/09/2020,1627,71.97,7,0.31,160,7.08,160,7.08,0,0,30,1.33,1627,71.97
04/10/2020,1666,73.69,13,0.58,134,5.93,134,5.93,0,0,31,1.37,1666,73.69
04/11/2020,934,41.31,10,0.44,72,3.18,72,3.18,0,0,24,1.06,934,41.31
04/12/2020,627,27.73,5,0.22,36,1.59,36,1.59,0,0,17,0.75,627,27.73
04/13/2020,1791,79.22,8,0.35,147,6.5,147,6.5,0,0,16,0.71,1791,79.22
04/14/2020,1759,77.8,5,0.22,128,5.66,128,5.66,0,0,19,0.84,1759,77.8
04/15/2020,1806,79.88,5,0.22,136,6.02,136,6.02,0,0,22,0.97,1806,79.88
04/16/2020,1915,84.7,12,0.53,128,5.66,128,5.66,0,0,25,1.11,1915,84.7
04/17/2020,1953,86.39,7,0.31,146,6.46,146,6.46,0,0,23,1.02,1953,86.39
04/18/2020,1196,52.9,11,0.49,57,2.52,57,2.52,0,0,20,0.88,1196,52.9
04/19/2020,914,40.43,12,0.53,41,1.81,41,1.81,0,0,20,0.88,914,40.43
04/20/2020,1888,83.51,6,0.27,124,5.48,124,5.48,0,0,17,0.75,1888,83.51
04/21/2020,1845,81.61,14,0.62,108,4.78,108,4.78,0,0,22,0.97,1845,81.61
04/22/2020,1971,87.18,5,0.22,115,5.09,115,5.09,0,0,20,0.88,1971,87.18
04/23/2020,1858,82.18,5,0.22,102,4.51,102,4.51,0,0,13,0.58,1858,82.18
04/24/2020,1989,87.98,8,0.35,94,4.16,94,4.16,0,0,13,0.58,1989,87.98
04/25/2020,1717,75.95,10,0.44,68,3.01,68,3.01,0,0,17,0.75,1717,75.95
04/26/2020,895,39.59,9,0.4,45,1.99,45,1.99,0,0,15,0.66,895,39.59
04/27/2020,1916,84.75,6,0.27,123,5.44,123,5.44,0,0,6,0.27,1916,84.75
04/28/2020,2372,104.92,5,0.22,96,4.25,96,4.25,0,0,16,0.71,2372,104.92
04/29/2020,2308,102.09,6,0.27,118,5.22,118,5.22,0,0,14,0.62,2308,102.09
04/30/2020,2057,90.99,4,0.18,83,3.67,83,3.67,0,0,6,0.27,2057,90.99
05/01/2020,2027,89.66,7,0.31,134,5.93,134,5.93,0,0,9,0.4,2027,89.66
05/02/2020,1194,52.81,4,0.18,45,1.99,45,1.99,0,0,16,0.71,1194,52.81
05/03/2020,743,32.86,4,0.18,26,1.15,26,1.15,0,0,6,0.27,743,32.86
05/04/2020,2475,109.47,7,0.31,113,5,113,5,0,0,12,0.53,2475,109.47
05/05/2020,2315,102.4,4,0.18,79,3.49,79,3.49,0,0,10,0.44,2315,102.4
05/06/2020,2059,91.07,5,0.22,95,4.2,95,4.2,0,0,10,0.44,2059,91.07
05/07/2020,1845,81.61,5,0.22,78,3.45,78,3.45,0,0,7,0.31,1845,81.61
05/08/2020,2071,91.6,6,0.27,72,3.18,72,3.18,0,0,10,0.44,2071,91.6
05/09/2020,992,43.88,4,0.18,49,2.17,49,2.17,0,0,8,0.35,992,43.88
05/10/2020,531,23.49,10,0.44,17,0.75,17,0.75,0,0,12,0.53,531,23.49
05/11/2020,2196,97.13,2,0.09,79,3.49,79,3.49,0,0,10,0.44,2196,97.13
05/12/2020,2084,92.18,3,0.13,72,3.18,72,3.18,0,0,9,0.4,2084,92.18
05/13/2020,2066,91.38,1,0.04,87,3.85,87,3.85,0,0,7,0.31,2066,91.38
05/14/2020,2240,99.08,3,0.13,68,3.01,68,3.01,0,0,9,0.4,2240,99.08
05/15/2020,2312,102.26,1,0.04,96,4.25,96,4.25,0,0,5,0.22,2312,102.26
05/16/2020,1328,58.74,4,0.18,28,1.24,28,1.24,0,0,5,0.22,1328,58.74
05/17/2020,793,35.08,4,0.18,18,0.8,18,0.8,0,0,3,0.13,793,35.08
05/18/2020,2688,118.9,1,0.04,78,3.45,78,3.45,0,0,8,0.35,2688,118.9
05/19/2020,2189,96.82,4,0.18,46,2.03,46,2.03,0,0,9,0.4,2189,96.82
05/20/2020,2159,95.5,3,0.13,81,3.58,81,3.58,0,0,10,0.44,2159,95.5
05/21/2020,1561,69.05,3,0.13,43,1.9,43,1.9,0,0,5,0.22,1561,69.05
05/22/2020,1565,69.22,2,0.09,51,2.26,51,2.26,0,0,10,0.44,1565,69.22
05/23/2020,1129,49.94,4,0.18,21,0.93,21,0.93,0,0,8,0.35,1129,49.94
05/24/2020,835,36.93,3,0.13,16,0.71,16,0.71,0,0,7,0.31,835,36.93
05/25/2020,899,39.76,3,0.13,15,0.66,15,0.66,0,0,7,0.31,899,39.76
05/26/2020,2524,111.64,1,0.04,72,3.18,72,3.18,0,0,3,0.13,2524,111.64
05/27/2020,2302,101.82,6,0.27,57,2.52,57,2.52,0,0,7,0.31,2302,101.82
05/28/2020,1706,75.46,1,0.04,64,2.83,64,2.83,0,0,3,0.13,1706,75.46
05/29/2020,1846,81.65,3,0.13,85,3.76,85,3.76,0,0,9,0.4,1846,81.65
05/30/2020,1364,60.33,1,0.04,30,1.33,30,1.33,0,0,3,0.13,1364,60.33
05/31/2020,781,34.55,2,0.09,11,0.49,11,0.49,0,0,6,0.27,781,34.55
06/01/2020,2156,95.36,2,0.09,52,2.3,52,2.3,0,0,6,0.27,2156,95.36
06/02/2020,2233,98.77,2,0.09,66,2.92,66,2.92,0,0,2,0.09,2233,98.77
06/03/2020,2457,108.68,1,0.04,59,2.61,59,2.61,0,0,3,0.13,2457,108.68
06/04/2020,1798,79.53,2,0.09,36,1.59,36,1.59,0,0,2,0.09,1798,79.53
06/05/2020,2718,120.22,1,0.04,44,1.95,44,1.95,0,0,6,0.27,2718,120.22
06/06/2020,1903,84.17,1,0.04,26,1.15,26,1.15,0,0,3,0.13,1903,84.17
06/07/2020,975,43.13,3,0.13,14,0.62,14,0.62,0,0,5,0.22,975,43.13
06/08/2020,3650,161.45,2,0.09,59,2.61,59,2.61,0,0,5,0.22,3650,161.45
06/09/2020,3717,164.41,1,0.04,42,1.86,42,1.86,0,0,3,0.13,3717,164.41
06/10/2020,3853,170.43,0,0,53,2.34,53,2.34,0,0,7,0.31,3853,170.43
06/11/2020,3546,156.85,5,0.22,52,2.3,52,2.3,0,0,2,0.09,3546,156.85
06/12/2020,3344,147.91,3,0.13,77,3.41,77,3.41,0,0,0,0,3344,147.91
06/13/2020,3244,143.49,1,0.04,38,1.68,38,1.68,0,0,3,0.13,3244,143.49
06/14/2020,1585,70.11,1,0.04,25,1.11,25,1.11,0,0,3,0.13,1585,70.11
06/15/2020,4259,188.38,0,0,69,3.05,69,3.05,0,0,7,0.31,4259,188.38
06/16/2020,4318,190.99,1,0.04,79,3.49,79,3.49,0,0,4,0.18,4318,190.99
06/17/2020,4131,182.72,0,0,85,3.76,85,3.76,0,0,4,0.18,4131,182.72
06/18/2020,3680,162.77,1,0.04,78,3.45,78,3.45,0,0,3,0.13,3680,162.77
06/19/2020,3820,168.97,0,0,87,3.85,87,3.85,0,0,5,0.22,3820,168.97
06/20/2020,3220,142.43,1,0.04,69,3.05,69,3.05,0,0,6,0.27,3220,142.43
06/21/2020,1262,55.82,2,0.09,43,1.9,43,1.9,0,0,4,0.18,1262,55.82
06/22/2020,4712,208.42,0,0,146,6.46,146,6.46,0,0,6,0.27,4712,208.42
06/23/2020,4625,204.57,3,0.13,135,5.97,135,5.97,0,0,8,0.35,4625,204.57
06/24/2020,4670,206.56,0,0,153,6.77,153,6.77,0,0,5,0.22,4670,206.56
06/25/2020,4035,178.48,2,0.09,142,6.28,142,6.28,0,0,9,0.4,4035,178.48
06/26/2020,4345,192.19,1,0.04,132,5.84,132,5.84,0,0,4,0.18,4345,192.19
06/27/2020,3710,164.1,1,0.04,139,6.15,139,6.15,0,0,12,0.53,3710,164.1
06/28/2020,1513,66.92,0,0,48,2.12,48,2.12,0,0,11,0.49,1513,66.92
06/29/2020,6359,281.27,0,0,295,13.05,295,13.05,0,0,5,0.22,6359,281.27
06/30/2020,6605,292.15,0,0,209,9.24,209,9.24,0,0,4,0.18,6605,292.15
07/01/2020,5936,262.56,2,0.09,222,9.82,222,9.82,0,0,3,0.13,5936,262.56
07/02/2020,5527,244.47,2,0.09,216,9.55,216,9.55,0,0,5,0.22,5527,244.47
07/03/2020,4259,188.38,3,0.13,120,5.31,120,5.31,0,0,7,0.31,4259,188.38
07/04/2020,1639,72.5,0,0,51,2.26,51,2.26,0,0,5,0.22,1639,72.5
07/05/2020,1472,65.11,1,0.04,65,2.88,65,2.88,0,0,5,0.22,1472,65.11
07/06/2020,6332,280.08,2,0.09,207,9.16,207,9.16,0,0,9,0.4,6332,280.08
07/07/2020,6382,282.29,2,0.09,224,9.91,224,9.91,0,0,12,0.53,6382,282.29
07/08/2020,5171,228.72,2,0.09,197,8.71,197,8.71,0,0,9,0.4,5171,228.72
07/09/2020,4534,200.55,5,0.22,190,8.4,187,8.27,3,0.13,6,0.27,4534,200.55
07/10/2020,4895,216.52,1,0.04,207,9.16,207,9.16,0,0,7,0.31,4895,216.52
07/11/2020,4283,189.45,0,0,101,4.47,101,4.47,0,0,11,0.49,4283,189.45
07/12/2020,1782,78.82,0,0,67,2.96,67,2.96,0,0,8,0.35,1782,78.82
07/13/2020,6571,290.65,1,0.04,233,10.31,232,10.26,1,0.04,9,0.4,6571,290.65
07/14/2020,6527,288.7,2,0.09,216,9.55,216,9.55,0,0,15,0.66,6527,288.7
07/15/2020,6278,277.69,1,0.04,237,10.48,223,9.86,14,0.62,6,0.27,6278,277.69
07/16/2020,5379,237.92,0,0,171,7.56,168,7.43,3,0.13,6,0.27,5379,237.92
07/17/2020,5797,256.41,0,0,206,9.11,196,8.67,10,0.44,8,0.35,5797,256.41
07/18/2020,4294,189.93,2,0.09,112,4.95,112,4.95,0,0,8,0.35,4294,189.93
07/19/2020,1682,74.4,2,0.09,75,3.32,75,3.32,0,0,10,0.44,1682,74.4
07/20/2020,6353,281.01,2,0.09,209,9.24,208,9.2,1,0.04,8,0.35,6353,281.01
07/21/2020,6102,269.9,1,0.04,232,10.26,232,10.26,0,0,6,0.27,6102,269.9
07/22/2020,6020,266.28,2,0.09,216,9.55,211,9.33,5,0.22,9,0.4,6020,266.28
07/23/2020,5146,227.62,1,0.04,191,8.45,178,7.87,13,0.58,4,0.18,5146,227.62
07/24/2020,5635,249.25,1,0.04,156,6.9,156,6.9,0,0,9,0.4,5635,249.25
07/25/2020,4477,198.03,1,0.04,111,4.91,111,4.91,0,0,6,0.27,4477,198.03
07/26/2020,1756,77.67,2,0.09,59,2.61,59,2.61,0,0,10,0.44,1756,77.67
07/27/2020,6689,295.87,1,0.04,212,9.38,209,9.24,3,0.13,11,0.49,6689,295.87
07/28/2020,6091,269.42,2,0.09,215,9.51,214,9.47,1,0.04,9,0.4,6091,269.42
07/29/2020,5894,260.7,3,0.13,193,8.54,182,8.05,11,0.49,11,0.49,5894,260.7
07/30/2020,5343,236.33,2,0.09,161,7.12,161,7.12,0,0,12,0.53,5343,236.33
07/31/2020,5501,243.32,5,0.22,169,7.48,153,6.77,16,0.71,13,0.58,5501,243.32
08/01/2020,4416,195.33,3,0.13,93,4.11,93,4.11,0,0,10,0.44,4416,195.33
08/02/2020,1865,82.49,1,0.04,37,1.64,37,1.64,0,0,6,0.27,1865,82.49
08/03/2020,7180,317.59,3,0.13,166,7.34,164,7.25,2,0.09,8,0.35,7180,317.59
08/04/2020,6408,283.44,6,0.27,191,8.45,191,8.45,0,0,13,0.58,6408,283.44
08/05/2020,5954,263.36,3,0.13,163,7.21,158,6.99,5,0.22,6,0.27,5954,263.36
08/06/2020,5973,264.2,1,0.04,159,7.03,159,7.03,0,0,10,0.44,5973,264.2
08/07/2020,6081,268.98,7,0.31,165,7.3,161,7.12,4,0.18,7,0.31,6081,268.98
08/08/2020,4861,215.01,2,0.09,102,4.51,102,4.51,0,0,7,0.31,4861,215.01
08/09/2020,1763,77.98,2,0.09,51,2.26,51,2.26,0,0,5,0.22,1763,77.98
08/10/2020,7971,352.57,2,0.09,198,8.76,196,8.67,2,0.09,11,0.49,7971,352.57
08/11/2020,6745,298.35,0,0,149,6.59,147,6.5,2,0.09,6,0.27,6745,298.35
08/12/2020,7341,324.71,4,0.18,157,6.94,150,6.63,7,0.31,7,0.31,7341,324.71
08/13/2020,6304,278.84,2,0.09,144,6.37,141,6.24,3,0.13,10,0.44,6304,278.84
08/14/2020,6098,269.73,4,0.18,191,8.45,182,8.05,9,0.4,11,0.49,6098,269.73
08/15/2020,4573,202.27,2,0.09,125,5.53,125,5.53,0,0,8,0.35,4573,202.27
08/16/2020,1782,78.82,2,0.09,39,1.73,39,1.73,0,0,7,0.31,1782,78.82
08/17/2020,7537,333.38,2,0.09,180,7.96,179,7.92,1,0.04,9,0.4,7537,333.38
08/18/2020,6745,298.35,4,0.18,106,4.69,105,4.64,1,0.04,9,0.4,6745,298.35
08/19/2020,7127,315.24,2,0.09,164,7.25,153,6.77,11,0.49,12,0.53,7127,315.24
08/20/2020,6065,268.27,0,0,133,5.88,130,5.75,3,0.13,10,0.44,6065,268.27
08/21/2020,5512,243.81,1,0.04,131,5.79,125,5.53,6,0.27,6,0.27,5512,243.81
08/22/2020,4404,194.8,2,0.09,63,2.79,63,2.79,0,0,3,0.13,4404,194.8
08/23/2020,1721,76.12,0,0,51,2.26,51,2.26,0,0,8,0.35,1721,76.12
08/24/2020,7442,329.18,0,0,166,7.34,163,7.21,3,0.13,10,0.44,7442,329.18
08/25/2020,6624,292.99,2,0.09,160,7.08,157,6.94,3,0.13,5,0.22,6624,292.99
08/26/2020,6441,284.9,4,0.18,133,5.88,127,5.62,6,0.27,2,0.09,6441,284.9
08/27/2020,5563,246.06,0,0,121,5.35,118,5.22,3,0.13,5,0.22,5563,246.06
08/28/2020,5738,253.8,0,0,111,4.91,108,4.78,3,0.13,2,0.09,5738,253.8
08/29/2020,4434,196.13,0,0,80,3.54,80,3.54,0,0,1,0.04,4434,196.13
08/30/2020,1880,83.16,1,0.04,23,1.02,23,1.02,0,0,3,0.13,1880,83.16
08/31/2020,7873,348.24,3,0.13,126,5.57,123,5.44,3,0.13,9,0.4,7873,348.24
09/01/2020,7157,316.57,0,0,121,5.35,119,5.26,2,0.09,9,0.4,7157,316.57
09/02/2020,6754,298.74,2,0.09,125,5.53,111,4.91,14,0.62,10,0.44,6754,298.74
09/03/2020,5860,259.2,2,0.09,120,5.31,119,5.26,1,0.04,6,0.27,5860,259.2
09/04/2020,5415,239.52,0,0,89,3.94,85,3.76,4,0.18,6,0.27,5415,239.52
09/05/2020,4302,190.29,3,0.13,82,3.63,82,3.63,0,0,6,0.27,4302,190.29
09/06/2020,2035,90.01,1,0.04,29,1.28,29,1.28,0,0,5,0.22,2035,90.01
09/07/2020,2491,110.18,1,0.04,60,2.65,60,2.65,0,0,2,0.09,2491,110.18
09/08/2020,8012,354.39,0,0,118,5.22,116,5.13,2,0.09,3,0.13,8012,354.39
09/09/2020,6935,306.75,0,0,130,5.75,127,5.62,3,0.13,5,0.22,6935,306.75
09/10/2020,5855,258.98,0,0,104,4.6,103,4.56,1,0.04,4,0.18,5855,258.98
09/11/2020,4969,219.79,2,0.09,79,3.49,78,3.45,1,0.04,4,0.18,4969,219.79
09/12/2020,3824,169.14,0,0,59,2.61,59,2.61,0,0,3,0.13,3824,169.14
09/13/2020,1653,73.12,1,0.04,24,1.06,24,1.06,0,0,0,0,1653,73.12
09/14/2020,5503,243.41,0,0,112,4.95,111,4.91,1,0.04,4,0.18,5503,243.41
09/15/2020,7190,318.03,3,0.13,81,3.58,81,3.58,0,0,2,0.09,7190,318.03
09/16/2020,6284,277.95,2,0.09,87,3.85,86,3.8,1,0.04,5,0.22,6284,277.95
09/17/2020,5873,259.78,0,0,105,4.64,101,4.47,4,0.18,2,0.09,5873,259.78
09/18/2020,5320,235.31,1,0.04,84,3.72,83,3.67,1,0.04,3,0.13,5320,235.31
09/19/2020,4637,205.1,0,0,68,3.01,68,3.01,0,0,5,0.22,4637,205.1
09/20/2020,1989,87.98,3,0.13,18,0.8,18,0.8,0,0,5,0.22,1989,87.98
09/21/2020,7983,353.11,1,0.04,124,5.48,124,5.48,0,0,9,0.4,7983,353.11
09/22/2020,6961,307.9,0,0,96,4.25,96,4.25,0,0,7,0.31,6961,307.9
09/23/2020,6630,293.26,0,0,106,4.69,101,4.47,5,0.22,2,0.09,6630,293.26
09/24/2020,6306,278.93,1,0.04,131,5.79,131,5.79,0,0,12,0.53,6306,278.93
09/25/2020,6152,272.12,0,0,117,5.18,117,5.18,0,0,7,0.31,6152,272.12
09/26/2020,4962,219.48,1,0.04,92,4.07,92,4.07,0,0,1,0.04,4962,219.48
09/27/2020,1929,85.32,0,0,31,1.37,31,1.37,0,0,6,0.27,1929,85.32
09/28/2020,8753,387.16,1,0.04,232,10.26,230,10.17,2,0.09,3,0.13,8753,387.16
09/29/2020,7414,327.94,1,0.04,172,7.61,172,7.61,0,0,6,0.27,7414,327.94
09/30/2020,7439,329.04,1,0.04,163,7.21,154,6.81,9,0.4,6,0.27,7439,329.04
10/01/2020,6686,295.74,5,0.22,163,7.21,159,7.03,4,0.18,10,0.44,6686,295.74
10/02/2020,7322,323.87,1,0.04,158,6.99,156,6.9,2,0.09,3,0.13,7322,323.87
10/03/2020,6432,284.5,1,0.04,138,6.1,138,6.1,0,0,6,0.27,6432,284.5
10/04/2020,2705,119.65,0,0,41,1.81,41,1.81,0,0,6,0.27,2705,119.65
10/05/2020,10908,482.48,4,0.18,211,9.33,205,9.07,6,0.27,8,0.35,10908,482.48
10/06/2020,10031,443.69,4,0.18,166,7.34,162,7.17,4,0.18,11,0.49,10031,443.69
10/07/2020,9523,421.22,3,0.13,187,8.27,185,8.18,2,0.09,7,0.31,9523,421.22
10/08/2020,7671,339.3,1,0.04,160,7.08,156,6.9,4,0.18,5,0.22,7671,339.3
10/09/2020,7674,339.44,0,0,187,8.27,183,8.09,4,0.18,3,0.13,7674,339.44
10/10/2020,6075,268.71,1,0.04,107,4.73,107,4.73,0,0,10,0.44,6075,268.71
10/11/2020,2105,93.11,0,0,41,1.81,41,1.81,0,0,4,0.18,2105,93.11
10/12/2020,9432,417.2,2,0.09,184,8.14,181,8.01,3,0.13,5,0.22,9432,417.2
10/13/2020,8807,389.55,1,0.04,146,6.46,145,6.41,1,0.04,6,0.27,8807,389.55
10/14/2020,9006,398.35,0,0,200,8.85,196,8.67,4,0.18,12,0.53,9006,398.35
10/15/2020,7916,350.14,0,0,210,9.29,206,9.11,4,0.18,7,0.31,7916,350.14
10/16/2020,8003,353.99,0,0,168,7.43,159,7.03,9,0.4,12,0.53,8003,353.99
10/17/2020,6089,269.33,1,0.04,119,5.26,119,5.26,0,0,5,0.22,6089,269.33
10/18/2020,2332,103.15,2,0.09,37,1.64,37,1.64,0,0,7,0.31,2332,103.15
10/19/2020,10379,459.09,2,0.09,245,10.84,243,10.75,2,0.09,11,0.49,10379,459.09
10/20/2020,9545,422.2,1,0.04,254,11.23,249,11.01,5,0.22,12,0.53,9545,422.2
10/21/2020,8980,397.2,3,0.13,202,8.93,198,8.76,4,0.18,4,0.18,8980,397.2
10/22/2020,8094,358.01,1,0.04,227,10.04,225,9.95,2,0.09,8,0.35,8094,358.01
10/23/2020,7753,342.93,2,0.09,228,10.08,220,9.73,8,0.35,12,0.53,7753,342.93
10/24/2020,6220,275.12,3,0.13,200,8.85,198,8.76,2,0.09,3,0.13,6220,275.12
10/25/2020,2385,105.49,1,0.04,51,2.26,51,2.26,0,0,2,0.09,2385,105.49
10/26/2020,10883,481.38,1,0.04,341,15.08,339,14.99,2,0.09,8,0.35,10883,481.38
10/27/2020,10217,451.92,2,0.09,301,13.31,296,13.09,5,0.22,10,0.44,10217,451.92
10/28/2020,10369,458.64,2,0.09,364,16.1,353,15.61,11,0.49,7,0.31,10369,458.64
10/29/2020,9642,426.49,1,0.04,364,16.1,358,15.84,6,0.27,15,0.66,9642,426.49
10/30/2020,8858,391.81,1,0.04,331,14.64,320,14.15,11,0.49,8,0.35,8858,391.81
10/31/2020,6813,301.35,2,0.09,257,11.37,257,11.37,0,0,7,0.31,6813,301.35
11/01/2020,2500,110.58,0,0,71,3.14,71,3.14,0,0,9,0.4,2500,110.58
